RunNumber,BeamEnergy,Threshold,GearGeoFile

#R0H1, ASIC24, high detailed
#000848,4.4,40,gear-beforeAlign-000848_pre_pre.xml
000846,4.4,60,alignedGear-iter4-run000848-APIX-try1.xml
000847,4.4,30,alignedGear-iter4-run000848-APIX-try1.xml
000848,4.4,40,alignedGear-iter4-run000848-APIX-try1.xml
000849,4.4,50,alignedGear-iter4-run000848-APIX-try1.xml
000850,4.4,68,alignedGear-iter4-run000848-APIX-try1.xml
000851,4.4,75,alignedGear-iter4-run000848-APIX-try1.xml
000852,4.4,83,alignedGear-iter4-run000848-APIX-try1.xml
000853,4.4,90,alignedGear-iter4-run000848-APIX-try1.xml
000854,4.4,95,alignedGear-iter4-run000848-APIX-try1.xml
000855,4.4,100,alignedGear-iter4-run000848-APIX-try1.xml
000856,4.4,105,alignedGear-iter4-run000848-APIX-try1.xml
000857,4.4,110,alignedGear-iter4-run000848-APIX-try1.xml
000858,4.4,115,alignedGear-iter4-run000848-APIX-try1.xml
000859,4.4,120,alignedGear-iter4-run000848-APIX-try1.xml
000861,4.4,125,alignedGear-iter4-run000848-APIX-try1.xml
000862,4.4,130,alignedGear-iter4-run000848-APIX-try1.xml
000863,4.4,135,alignedGear-iter4-run000848-APIX-try1.xml
000864,4.4,140,alignedGear-iter4-run000848-APIX-try1.xml
000865,4.4,145,alignedGear-iter4-run000848-APIX-try1.xml
000866,4.4,150,alignedGear-iter4-run000848-APIX-try1.xml
000867,4.4,155,alignedGear-iter4-run000848-APIX-try1.xml
000868,4.4,160,alignedGear-iter4-run000848-APIX-try1.xml
000869,4.4,170,alignedGear-iter4-run000848-APIX-try1.xml
000870,4.4,180,alignedGear-iter4-run000848-APIX-try1.xml






